date,forecast
2293-10-16,11607.523216188323
2293-10-17,8655.43230910056
2293-10-18,12309.421219955428
2293-10-19,16378.987879032858
2293-10-20,8209.632518166152
2293-10-21,8209.708846365133
2293-10-22,16640.189186885225
2293-10-23,12866.135608349601
2293-10-24,7115.596944409601
2293-10-25,11820.66625403717
2293-10-26,7143.755236358176
2293-10-27,7133.006188898749
2293-10-28,10423.151198800439
2293-10-29,403.1705320461864
2293-10-30,1278.8899528659865
2293-10-31,6684.097521701277
2293-11-01,4589.4663893328925
2293-11-02,10759.213107637112
2293-11-03,5076.726897077524
2293-11-04,2732.2705014472917
2293-11-05,16112.216328767065
2293-11-06,8248.578539908416
2293-11-07,9612.18632381072
2293-11-08,2674.41460033719
2293-11-09,6767.339103910114
2293-11-10,9813.932018642028
2293-11-11,3947.1325737781713
2293-11-12,11044.904707790118
2293-11-13,6505.798381049231
2293-11-14,7942.120420841363
